origin_iata,origin_city,destination_iata,destination_city,haversine_km,geodesic_km,difference_km
DEL,New Delhi,BOM,Mumbai,1137.06,1133.5,-3.56
DEL,New Delhi,BLR,Bengaluru,1708.76,1701.49,-7.27
DEL,New Delhi,HYD,Hyderabad,1266.75,1261.71,-5.04
DEL,New Delhi,MAA,Chennai,1759.8,1752.6,-7.2
DEL,New Delhi,CCU,Kolkata,1312.42,1312.93,0.51
DEL,New Delhi,PNQ,Pune,1155.27,1151.2,-4.07
DEL,New Delhi,AMD,Ahmedabad,755.42,754.08,-1.34
DEL,New Delhi,JAI,Jaipur,230.58,230.16,-0.42
DEL,New Delhi,LKO,Lucknow,423.22,423.5,0.28
DEL,New Delhi,GOI,Goa,1503.06,1497.26,-5.8
DEL,New Delhi,COK,Kochi,2047.79,2038.76,-9.03
DEL,New Delhi,BBI,Bhubaneswar,1276.18,1274.63,-1.55
DEL,New Delhi,IXC,Chandigarh,237.35,236.63,-0.72
DEL,New Delhi,IDR,Indore,661.67,659.36,-2.31
BOM,Mumbai,BLR,Bengaluru,834.28,832.26,-2.02
BOM,Mumbai,HYD,Hyderabad,623.09,623.58,0.49
BOM,Mumbai,MAA,Chennai,1033.41,1032.08,-1.33
BOM,Mumbai,CCU,Kolkata,1665.49,1667.51,2.02
BOM,Mumbai,PNQ,Pune,124.2,124.22,0.02
BOM,Mumbai,AMD,Ahmedabad,444.16,442.26,-1.9
BOM,Mumbai,JAI,Jaipur,911.33,908.2,-3.13
BOM,Mumbai,LKO,Lucknow,1183.58,1182.02,-1.56
BOM,Mumbai,GOI,Goa,424.8,422.96,-1.84
BOM,Mumbai,COK,Kochi,1063.43,1059.04,-4.39
BOM,Mumbai,BBI,Bhubaneswar,1361.61,1363.58,1.97
BOM,Mumbai,IXC,Chandigarh,1347.18,1342.72,-4.46
BOM,Mumbai,IDR,Indore,505.95,504.85,-1.1
BLR,Bengaluru,HYD,Hyderabad,454.82,452.68,-2.14
BLR,Bengaluru,MAA,Chennai,267.35,267.69,0.34
BLR,Bengaluru,CCU,Kolkata,1546.43,1544.34,-2.09
BLR,Bengaluru,PNQ,Pune,722.78,720.71,-2.07
BLR,Bengaluru,AMD,Ahmedabad,1221.91,1217.72,-4.19
BLR,Bengaluru,JAI,Jaipur,1527.85,1521.31,-6.54
BLR,Bengaluru,LKO,Lucknow,1543.87,1537.53,-6.34
BLR,Bengaluru,GOI,Goa,483.2,483.08,-0.12
BLR,Bengaluru,COK,Kochi,368.0,366.46,-1.54
BLR,Bengaluru,BBI,Bhubaneswar,1165.92,1164.32,-1.6
BLR,Bengaluru,IXC,Chandigarh,1945.33,1937.32,-8.01
BLR,Bengaluru,IDR,Indore,1077.87,1073.12,-4.75
HYD,Hyderabad,MAA,Chennai,507.0,504.94,-2.06
HYD,Hyderabad,CCU,Kolkata,1207.56,1207.61,0.05
HYD,Hyderabad,PNQ,Pune,500.52,500.97,0.45
HYD,Hyderabad,AMD,Ahmedabad,887.95,886.49,-1.46
HYD,Hyderabad,JAI,Jaipur,1100.35,1096.16,-4.19
HYD,Hyderabad,LKO,Lucknow,1089.52,1085.32,-4.2
HYD,Hyderabad,GOI,Goa,532.26,532.51,0.25
HYD,Hyderabad,COK,Kochi,817.27,813.55,-3.72
HYD,Hyderabad,BBI,Bhubaneswar,847.05,847.49,0.44
HYD,Hyderabad,IXC,Chandigarh,1504.08,1498.31,-5.77
HYD,Hyderabad,IDR,Indore,669.64,667.35,-2.29
MAA,Chennai,CCU,Kolkata,1385.71,1382.65,-3.06
MAA,Chennai,PNQ,Pune,912.89,911.52,-1.37
MAA,Chennai,AMD,Ahmedabad,1374.95,1371.41,-3.54
MAA,Chennai,JAI,Jaipur,1603.88,1597.61,-6.27
MAA,Chennai,LKO,Lucknow,1533.06,1526.35,-6.71
MAA,Chennai,GOI,Goa,733.08,733.44,0.36
MAA,Chennai,COK,Kochi,518.53,517.94,-0.59
MAA,Chennai,BBI,Bhubaneswar,1006.95,1004.38,-2.57
MAA,Chennai,IXC,Chandigarh,1996.68,1988.76,-7.92
MAA,Chennai,IDR,Indore,1176.46,1172.12,-4.34
CCU,Kolkata,PNQ,Pune,1577.3,1578.97,1.67
CCU,Kolkata,AMD,Ahmedabad,1619.94,1622.57,2.63
CCU,Kolkata,JAI,Jaipur,1356.71,1358.15,1.44
CCU,Kolkata,LKO,Lucknow,889.21,889.43,0.22
CCU,Kolkata,GOI,Goa,1734.7,1735.01,0.31
CCU,Kolkata,COK,Kochi,1891.42,1887.78,-3.64
CCU,Kolkata,BBI,Bhubaneswar,381.17,380.68,-0.49
CCU,Kolkata,IXC,Chandigarh,1460.24,1459.96,-0.28
CCU,Kolkata,IDR,Indore,1296.94,1299.04,2.1
PNQ,Pune,AMD,Ahmedabad,517.34,515.31,-2.03
PNQ,Pune,JAI,Jaipur,936.75,933.16,-3.59
PNQ,Pune,LKO,Lucknow,1156.27,1154.07,-2.2
PNQ,Pune,GOI,Goa,356.1,354.42,-1.68
PNQ,Pune,COK,Kochi,974.41,970.04,-4.37
PNQ,Pune,BBI,Bhubaneswar,1261.09,1262.81,1.72
PNQ,Pune,IXC,Chandigarh,1375.22,1370.3,-4.92
PNQ,Pune,IDR,Indore,500.18,498.46,-1.72
AMD,Ahmedabad,JAI,Jaipur,525.5,524.58,-0.92
AMD,Ahmedabad,LKO,Lucknow,927.4,927.99,0.59
AMD,Ahmedabad,GOI,Goa,864.96,861.18,-3.78
AMD,Ahmedabad,COK,Kochi,1491.64,1485.24,-6.4
AMD,Ahmedabad,BBI,Bhubaneswar,1397.28,1399.08,1.8
AMD,Ahmedabad,IXC,Chandigarh,939.55,937.2,-2.35
AMD,Ahmedabad,IDR,Indore,326.73,327.24,0.51
JAI,Jaipur,LKO,Lucknow,503.96,504.86,0.9
JAI,Jaipur,GOI,Goa,1288.85,1283.55,-5.3
JAI,Jaipur,COK,Kochi,1854.86,1846.49,-8.37
JAI,Jaipur,BBI,Bhubaneswar,1253.6,1253.28,-0.32
JAI,Jaipur,IXC,Chandigarh,438.47,437.14,-1.33
JAI,Jaipur,IDR,Indore,456.17,454.42,-1.75
LKO,Lucknow,GOI,Goa,1461.11,1457.01,-4.1
LKO,Lucknow,COK,Kochi,1906.19,1898.27,-7.92
LKO,Lucknow,BBI,Bhubaneswar,880.51,878.61,-1.9
LKO,Lucknow,IXC,Chandigarh,590.84,590.31,-0.53
LKO,Lucknow,IDR,Indore,682.29,681.82,-0.47
GOI,Goa,COK,Kochi,644.27,641.76,-2.51
GOI,Goa,BBI,Bhubaneswar,1379.0,1379.69,0.69
GOI,Goa,IXC,Chandigarh,1726.94,1720.31,-6.63
GOI,Goa,IDR,Indore,842.08,838.59,-3.49
COK,Kochi,BBI,Bhubaneswar,1510.39,1507.25,-3.14
COK,Kochi,IXC,Chandigarh,2282.26,2272.48,-9.78
COK,Kochi,IDR,Indore,1399.11,1392.48,-6.63
BBI,Bhubaneswar,IXC,Chandigarh,1469.52,1467.1,-2.42
BBI,Bhubaneswar,IDR,Indore,1071.66,1072.94,1.28
IXC,Chandigarh,IDR,Indore,889.6,886.49,-3.11
